Country,housewife,children,happiness,income
Algeria,"22,4","1,72","2,94","4,68"
Azerbaijan,"17,5","1,76","3,05","5,11"
Argentina,,"1,79","3,2","5,35"
Australia,"4,8","1,66","3,28","4,9"
Bahrain,"15,8","1,9","2,88","6,03"
Armenia,"17,7",2,"3,09","4,03"
Brazil,"13,9","1,97","3,26","4,42"
Belarus,"4,7","1,27","2,75","4,73"
Chile,"17,6","1,92","3,08","4,8"
China,"7,5","1,44",3,"4,36"
Taiwan,"12,8","1,68","3,16","4,75"
Colombia,"15,7","1,95","3,48","5,05"
Cyprus,"9,2","1,43","3,05","5,14"
Ecuador,"21,2","2,18","3,5",5
Estonia,"4,5","1,41","2,89","4,41"
Georgia,"13,2","1,58","2,86","3,66"
Palestine,34,"2,76","2,8","4,74"
Germany,"4,7","1,4","3,07","4,9"
Ghana,1,"1,85","3,29","4,48"
Hong Kong,"15,5",,"3,11","4,72"
India,"30,9","2,56","3,24","4,51"
Iraq,"36,2","2,62","2,74","5,35"
Japan,"15,7","1,57","3,22","3,98"
Kazakhstan,"10,3","1,61","3,19","5,32"
Jordan,"41,3","3,28","3,02","4,99"
South Korea,"14,2","1,58","3,05","4,68"
Kuwait,"7,3","2,29","3,33","5,92"
Kyrgyzstan,"17,1","2,35","3,32","5,56"
Lebanon,"16,8","1,5","2,94","5,83"
Libya,"18,5","1,89","3,24","5,38"
Malaysia,"11,2","2,29","3,53",6
Mexico,27,"2,26","3,61","3,32"
Morocco,"5,2","1,78","2,94","3,88"
Netherlands,"6,4","1,61","3,25","4,57"
New Zealand,"6,2","2,15","3,29","5,72"
Nigeria,"12,4","1,83","3,37","5,06"
Pakistan,"45,4","2,29","3,26","5,51"
Peru,16,"2,01","3,11","4,67"
Philippines,"17,5","2,84","3,38","4,18"
Poland,"3,2","1,64","3,16","4,38"
Qatar,"19,7","3,02","3,54","6,5"
Romania,"15,8","1,49","2,79","4,83"
Russia,"4,9","1,27","2,9","4,25"
Rwanda,"5,4","1,98","3,3","5,35"
Singapore,"15,7","1,64","3,32","5,63"
Slovenia,"2,4","1,51","3,02","4,91"
South Africa,"7,2","1,48","3,1","5,21"
Zimbabwe,"12,2","2,25","3,16","4,46"
Spain,"13,2","1,43","3,01","4,49"
Sweden,"0,3","1,44","3,35","5,23"
Thailand,"4,8","1,84","3,31","4,64"
Trinidad and Tobago,11,"2,24","3,41",5
Tunisia,21,"1,67","2,91","4,68"
Turkey,"34,6","1,84","3,18","5,57"
Ukraine,"4,2","1,33","2,84","4,32"
Egypt,"37,4","1,37","1,87","4,4"
United States,"6,8","1,69","3,25","4,99"
Uruguay,"8,4","1,86","3,19","4,5"
Uzbekistan,"24,8","2,56","3,61","5,84"
Yemen,"41,6","2,92","2,87","3,56"